net,length_um
net232,426.53µm
net234,425.9µm
net231,407.13µm
net247,398.49µm
net238,398.12µm
clknet_0_clk,371.7µm
net245,354.73µm
net218,307.08µm
_0509_,282.86µm
net221,279.41µm
net209,274.3µm
net246,239.43µm
net236,229.02µm
net229,222.01µm
net228,209.66µm
net256,206.22µm
net235,203.56µm
net233,198.6µm
net244,192.61µm
net237,184.04µm
net243,183.33µm
net230,180.74µm
_0971_,178.06µm
clk,175.07µm
_0714_,168.34µm
net216,166.49µm
_0516_,165.42µm
_0579_,155.86µm
net217,150.33µm
net202,149.24µm
_0844_,148.01µm
net222,146.815µm
_0225_,146.22µm
cn\[11\],144.64µm
_0276_,137.76µm
net205,136.76µm
clknet_4_8_0_clk,135.77µm
_1074_,132.8µm
_0647_,129.55µm
_0860_,128.78µm
clknet_4_13_0_clk,127.7µm
cn\[4\],127.58µm
clknet_4_9_0_clk,127.44µm
net240,127.34µm
net241,125.12µm
_0861_,124.31µm
net208,123.95µm
_0794_,122.62µm
net203,122.16µm
net204,121.9µm
net225,121.6µm
_0236_,121.24µm
net145,121.22µm
net219,120.02µm
cn_dn\[6\],118.58µm
net224,118.44µm
net226,117.86µm
_0705_,116.9µm
net220,116.74µm
clknet_4_2_0_clk,116.72µm
_0779_,114.41µm
_0679_,114.2µm
net242,113.22µm
clknet_4_7_0_clk,112.76µm
net212,112.11µm
net254,111.77µm
net215,111.22µm
clknet_4_6_0_clk,109.78µm
net239,108.45µm
net227,107.2µm
net252,106.96µm
clknet_4_5_0_clk,106µm
net206,105.655µm
_0195_,105.54µm
clknet_4_15_0_clk,105.42µm
_0256_,104.52µm
_0588_,104.47µm
net248,104.255µm
net223,102.04µm
net213,101.92µm
cn\[16\],101.69µm
net214,99.68µm
clknet_4_4_0_clk,98.64µm
_0909_,98.46µm
net201,97.86µm
net74,96.9µm
net199,96.84µm
net250,96.655µm
cn\[24\],95.98µm
net255,95.48µm
net200,94.7µm
_0528_,93.34µm
cn_dn\[10\],91.8µm
_0158_,91.78µm
clknet_4_0_0_clk,91.28µm
_0512_,90.14µm
net196,89.94µm
_0712_,89.79µm
clknet_4_10_0_clk,89.2µm
net193,89.1µm
_0655_,88.86µm
_0584_,88.81µm
_0766_,88.73µm
cn_dn\[26\],87.78µm
_0906_,86.85µm
_0935_,86.495µm
_0680_,86.18µm
_0955_,85.12µm
_0727_,84.09µm
cn\[17\],83.96µm
_0674_,82.62µm
net190,82.06µm
_0780_,81.8µm
net198,81.59µm
cn_dn\[14\],81.3µm
clknet_4_1_0_clk,81µm
_0765_,80.96µm
cn_dn\[9\],80.67µm
cn_dn\[17\],80.28µm
_0728_,80.11µm
net210,79.98µm
_0597_,79.94µm
_0529_,79.32µm
net115,79.16µm
_1007_,78.98µm
_0513_,78.4µm
_0901_,78.22µm
net191,77.38µm
cn\[14\],77.355µm
_0708_,77.3µm
_0531_,76.88µm
net77,76.54µm
net121,76.28µm
net192,76.27µm
cn_dn\[23\],76.18µm
_0891_,75.92µm
_0781_,75.815µm
cn\[15\],75.5µm
clknet_4_12_0_clk,75.3µm
net104,75.22µm
_0919_,75.12µm
net2,74.48µm
net123,74.29µm
net189,73.54µm
_0775_,73.19µm
_0648_,72.48µm
net187,72.48µm
_0904_,72.155µm
_0170_,71.46µm
net159,71.26µm
net185,70.14µm
_0900_,69.59µm
net112,69.56µm
cn_dn\[4\],69.34µm
net3,68.96µm
_0543_,68.87µm
_0663_,68.86µm
_0741_,68.4µm
net21,68.06µm
_0804_,67.8µm
_0672_,67.46µm
_0940_,67.46µm
net195,67.46µm
net249,67.36µm
net97,67.32µm
clknet_4_14_0_clk,66.97µm
_0763_,66.93µm
_0185_,66.88µm
_0715_,66.17µm
_0590_,66.02µm
net150,64.72µm
_0604_,64.31µm
net194,63.64µm
_0649_,62.99µm
_0725_,62.76µm
_0773_,62.54µm
cn_dn\[15\],62.34µm
_0549_,62.14µm
net186,61.96µm
_0683_,61.92µm
_0522_,61.58µm
_0272_,61.46µm
net90,61.32µm
_0767_,61.14µm
net146,61.14µm
net211,61.1µm
_0776_,60.91µm
_0851_,60.88µm
_0735_,60.815µm
cn\[27\],60.72µm
cn_dn\[27\],60.62µm
_0524_,60.46µm
cn_dn\[1\],59.94µm
_0716_,59.26µm
key_process,58.72µm
_0911_,58.54µm
cn\[0\],58.28µm
cn_dn\[19\],57.98µm
cn_dn\[25\],57.64µm
