Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_60_349,VGND,li1,166.2900,174.0800,0.003158
FILLER_60_337,VGND,li1,163.3000,174.0800,0.003158
FILLER_60_330,VGND,li1,158.7000,174.0800,0.003157
FILLER_60_318,VGND,li1,154.5600,174.0800,0.003157
FILLER_60_307,VGND,li1,146.9700,174.0800,0.003151
FILLER_60_281,VGND,li1,135.2400,174.0800,0.003094
FILLER_60_279,VGND,li1,134.0900,174.0800,0.003094
FILLER_60_275,VGND,li1,132.2500,174.0800,0.003080
FILLER_60_268,VGND,li1,129.0300,174.0800,0.003039
FILLER_60_258,VGND,li1,125.1200,174.0800,0.002993
FILLER_60_253,VGND,li1,122.3600,174.0800,0.002970
FILLER_60_251,VGND,li1,121.2100,174.0800,0.002948
FILLER_60_244,VGND,li1,118.6800,174.0800,0.002913
FILLER_60_240,VGND,li1,116.1500,174.0800,0.002889
FILLER_60_216,VGND,li1,106.7200,174.0800,0.002722
FILLER_60_209,VGND,li1,102.5800,174.0800,0.002673
FILLER_60_195,VGND,li1,95.4500,174.0800,0.002518
FILLER_60_191,VGND,li1,94.3000,174.0800,0.002518
FILLER_60_184,VGND,li1,90.3900,174.0800,0.002403
FILLER_60_177,VGND,li1,87.1700,174.0800,0.002329
FILLER_60_169,VGND,li1,83.7200,174.0800,0.002283
FILLER_60_167,VGND,li1,82.5700,174.0800,0.002226
FILLER_60_160,VGND,li1,80.0400,174.0800,0.002152
FILLER_60_156,VGND,li1,77.5100,174.0800,0.002090
FILLER_60_146,VGND,li1,73.6000,174.0800,0.001982
FILLER_60_141,VGND,li1,70.8400,174.0800,0.001919
FILLER_60_139,VGND,li1,69.6900,174.0800,0.001919
FILLER_60_132,VGND,li1,67.1600,174.0800,0.001849
FILLER_60_128,VGND,li1,64.6300,174.0800,0.001778
FILLER_60_121,VGND,li1,61.4100,174.0800,0.001638
FILLER_60_113,VGND,li1,57.9600,174.0800,0.001580
FILLER_60_111,VGND,li1,56.8100,174.0800,0.001515
FILLER_60_107,VGND,li1,54.9700,174.0800,0.001434
FILLER_60_100,VGND,li1,51.7500,174.0800,0.001329
FILLER_60_79,VGND,li1,42.3200,174.0800,0.001052
FILLER_60_69,VGND,li1,38.1800,174.0800,0.000897
FILLER_60_57,VGND,li1,34.5000,174.0800,0.000718
FILLER_60_53,VGND,li1,30.5900,174.0800,0.000602
FILLER_60_41,VGND,li1,27.1400,174.0800,0.000468
FILLER_60_29,VGND,li1,21.6200,174.0800,0.000390
FILLER_60_27,VGND,li1,18.1700,174.0800,0.000390
FILLER_60_21,VGND,li1,16.5600,174.0800,0.000390
FILLER_60_9,VGND,li1,12.4200,174.0800,0.000391
FILLER_59_355,VGND,li1,169.0500,174.0800,0.003159
FILLER_59_349,VGND,li1,167.4400,174.0800,0.003158
FILLER_59_337,VGND,li1,163.3000,174.0800,0.003158
FILLER_59_335,VGND,li1,159.8500,174.0800,0.003158
FILLER_59_327,VGND,li1,157.7800,174.0800,0.003157
FILLER_59_315,VGND,li1,153.1800,174.0800,0.003157
FILLER_59_303,VGND,li1,147.6600,174.0800,0.003151
FILLER_59_281,VGND,li1,136.1600,174.0800,0.003110
FILLER_59_269,VGND,li1,129.7200,174.0800,0.003061
FILLER_59_225,VGND,li1,111.7800,174.0800,0.002813
FILLER_59_223,VGND,li1,108.3300,174.0800,0.002776
FILLER_59_211,VGND,li1,105.3400,174.0800,0.002722
FILLER_59_201,VGND,li1,98.2100,174.0800,0.002593
FILLER_59_193,VGND,li1,96.1400,174.0800,0.002555
FILLER_59_181,VGND,li1,91.5400,174.0800,0.002463
FILLER_59_169,VGND,li1,86.0200,174.0800,0.002329
FILLER_59_162,VGND,li1,81.4200,174.0800,0.002226
FILLER_59_135,VGND,li1,68.0800,174.0800,0.001849
FILLER_59_122,VGND,li1,62.5600,174.0800,0.001720
FILLER_59_86,VGND,li1,45.3100,174.0800,0.001127
FILLER_59_65,VGND,li1,35.8800,174.0800,0.000808
FILLER_59_57,VGND,li1,33.5800,174.0800,0.000718
FILLER_59_54,VGND,li1,30.8200,174.0800,0.000602
FILLER_59_42,VGND,li1,27.6000,174.0800,0.000468
FILLER_59_30,VGND,li1,22.0800,174.0800,0.000390
FILLER_59_18,VGND,li1,16.5600,174.0800,0.000390
FILLER_59_6,VGND,li1,11.0400,174.0800,0.000391
FILLER_58_361,VGND,li1,171.8100,168.6400,0.002016
FILLER_58_357,VGND,li1,170.6600,168.6400,0.002016
FILLER_58_345,VGND,li1,166.9800,168.6400,0.002011
FILLER_58_333,VGND,li1,161.4600,168.6400,0.002000
FILLER_58_321,VGND,li1,155.9400,168.6400,0.001993
