Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_60_349,VPWR,li1,166.2900,176.8000,1.797526
FILLER_60_337,VPWR,li1,163.3000,176.8000,1.797526
FILLER_60_330,VPWR,li1,158.7000,176.8000,1.797527
FILLER_60_318,VPWR,li1,154.5600,176.8000,1.797527
FILLER_60_307,VPWR,li1,146.9700,176.8000,1.797533
FILLER_60_281,VPWR,li1,135.2400,176.8000,1.797575
FILLER_60_279,VPWR,li1,134.0900,176.8000,1.797588
FILLER_60_275,VPWR,li1,132.2500,176.8000,1.797604
FILLER_60_268,VPWR,li1,129.0300,176.8000,1.797629
FILLER_60_258,VPWR,li1,125.1200,176.8000,1.797651
FILLER_60_253,VPWR,li1,122.3600,176.8000,1.797676
FILLER_60_251,VPWR,li1,121.2100,176.8000,1.797696
FILLER_60_244,VPWR,li1,118.6800,176.8000,1.797726
FILLER_60_240,VPWR,li1,116.1500,176.8000,1.797744
FILLER_60_216,VPWR,li1,106.7200,176.8000,1.797838
FILLER_60_209,VPWR,li1,102.5800,176.8000,1.797890
FILLER_60_195,VPWR,li1,95.4500,176.8000,1.798000
FILLER_60_191,VPWR,li1,94.3000,176.8000,1.798000
FILLER_60_184,VPWR,li1,90.3900,176.8000,1.798084
FILLER_60_177,VPWR,li1,87.1700,176.8000,1.798140
FILLER_60_169,VPWR,li1,83.7200,176.8000,1.798175
FILLER_60_167,VPWR,li1,82.5700,176.8000,1.798215
FILLER_60_160,VPWR,li1,80.0400,176.8000,1.798276
FILLER_60_156,VPWR,li1,77.5100,176.8000,1.798324
FILLER_60_146,VPWR,li1,73.6000,176.8000,1.798372
FILLER_60_141,VPWR,li1,70.8400,176.8000,1.798429
FILLER_60_139,VPWR,li1,69.6900,176.8000,1.798472
FILLER_60_132,VPWR,li1,67.1600,176.8000,1.798538
FILLER_60_128,VPWR,li1,64.6300,176.8000,1.798591
FILLER_60_121,VPWR,li1,61.4100,176.8000,1.798663
FILLER_60_113,VPWR,li1,57.9600,176.8000,1.798706
FILLER_60_111,VPWR,li1,56.8100,176.8000,1.798756
FILLER_60_107,VPWR,li1,54.9700,176.8000,1.798816
FILLER_60_100,VPWR,li1,51.7500,176.8000,1.798898
FILLER_60_79,VPWR,li1,42.3200,176.8000,1.799111
FILLER_60_69,VPWR,li1,38.1800,176.8000,1.799229
FILLER_60_57,VPWR,li1,34.5000,176.8000,1.799335
FILLER_60_53,VPWR,li1,30.5900,176.8000,1.799449
FILLER_60_41,VPWR,li1,27.1400,176.8000,1.799549
FILLER_60_29,VPWR,li1,21.6200,176.8000,1.799709
FILLER_60_27,VPWR,li1,18.1700,176.8000,1.799709
FILLER_60_21,VPWR,li1,16.5600,176.8000,1.799709
FILLER_60_9,VPWR,li1,12.4200,176.8000,1.799708
FILLER_59_355,VPWR,li1,169.0500,171.3600,1.798218
FILLER_59_349,VPWR,li1,167.4400,171.3600,1.798218
FILLER_59_337,VPWR,li1,163.3000,171.3600,1.798219
FILLER_59_335,VPWR,li1,159.8500,171.3600,1.798219
FILLER_59_327,VPWR,li1,157.7800,171.3600,1.798219
FILLER_59_315,VPWR,li1,153.1800,171.3600,1.798220
FILLER_59_303,VPWR,li1,147.6600,171.3600,1.798220
FILLER_59_281,VPWR,li1,136.1600,171.3600,1.798231
FILLER_59_269,VPWR,li1,129.7200,171.3600,1.798243
FILLER_59_225,VPWR,li1,111.7800,171.3600,1.798355
FILLER_59_223,VPWR,li1,108.3300,171.3600,1.798381
FILLER_59_211,VPWR,li1,105.3400,171.3600,1.798409
FILLER_59_201,VPWR,li1,98.2100,171.3600,1.798489
FILLER_59_193,VPWR,li1,96.1400,171.3600,1.798524
FILLER_59_181,VPWR,li1,91.5400,171.3600,1.798568
FILLER_59_169,VPWR,li1,86.0200,171.3600,1.798638
FILLER_59_162,VPWR,li1,81.4200,171.3600,1.798709
FILLER_59_135,VPWR,li1,68.0800,171.3600,1.798882
FILLER_59_122,VPWR,li1,62.5600,171.3600,1.798966
FILLER_59_86,VPWR,li1,45.3100,171.3600,1.799298
FILLER_59_65,VPWR,li1,35.8800,171.3600,1.799464
FILLER_59_57,VPWR,li1,33.5800,171.3600,1.799535
FILLER_59_54,VPWR,li1,30.8200,171.3600,1.799575
FILLER_59_42,VPWR,li1,27.6000,171.3600,1.799656
FILLER_59_30,VPWR,li1,22.0800,171.3600,1.799777
FILLER_59_18,VPWR,li1,16.5600,171.3600,1.799774
FILLER_59_6,VPWR,li1,11.0400,171.3600,1.799772
FILLER_58_361,VPWR,li1,171.8100,171.3600,1.798218
